Row,Write,kill API,chdir API,Accept,B/M/M,Connect,network_http,clone API,Rename,Read,postgresql,S/P,execve API,Label
0,1600,0,0,16,80,0,808,0,0,2422,0,1764,0,1
1,1600,0,0,16,96,0,805,0,0,2428,0,1698,0,1
2,1600,0,0,16,112,0,803,0,0,2428,0,1686,0,1
3,1630,0,0,18,104,0,823,0,0,2476,0,1614,0,1
4,1628,0,0,18,82,0,822,0,0,2460,0,1610,0,1
5,1630,0,0,18,138,0,832,0,0,2473,0,1616,0,1
6,956,0,0,10,106,0,491,0,0,1467,0,978,0,1
7,1913,0,0,20,104,0,965,0,0,2897,0,1936,0,1
8,1956,0,0,20,94,0,986,0,0,2952,0,1968,0,1
9,970,0,0,10,62,0,490,0,0,1472,0,968,0,1
10,1950,0,0,20,118,0,993,0,0,2942,0,1950,0,1
11,1970,0,0,20,124,0,993,0,0,2981,0,1958,0,1
12,970,0,0,8,60,0,489,0,0,1472,0,962,0,1
13,1970,0,0,18,98,0,993,0,0,2971,0,1956,0,1
14,1971,0,0,18,114,0,994,0,0,2976,0,1958,0,1
15,970,0,0,10,106,0,495,0,0,1487,0,964,0,1
16,1924,0,0,20,134,0,971,0,0,2918,0,1912,0,1
17,1970,0,0,20,132,0,993,0,0,2987,0,1954,0,1
18,984,0,0,10,62,0,496,0,0,1493,0,976,0,1
19,1914,0,0,20,148,0,973,0,0,2897,0,1902,0,1
20,1982,0,0,20,136,0,1009,0,0,3001,0,1970,0,1
21,966,0,0,10,108,0,492,0,0,1479,0,960,0,1
22,1948,0,0,18,98,0,982,0,0,2937,0,1940,0,1
23,1930,0,0,20,118,0,982,0,0,2914,0,1922,0,1
24,970,0,0,10,84,0,494,0,0,1476,0,968,0,1
25,1936,0,0,20,138,0,985,0,0,2935,0,1940,0,1
26,1970,0,0,20,106,0,994,0,0,2982,0,1970,0,1
27,984,0,0,10,84,0,496,0,0,1504,0,976,0,1
28,1934,0,0,20,106,0,976,0,0,2917,0,1921,0,1
29,1982,0,0,20,102,0,1007,0,0,2991,0,1968,0,1
30,978,0,0,10,86,0,499,0,0,1487,0,972,0,1
31,1902,0,0,20,100,0,960,0,0,2870,0,1898,0,1
32,1978,0,0,20,88,0,998,0,0,2983,0,1972,0,1
33,968,0,0,10,84,0,488,0,0,1481,0,960,0,1
34,1944,0,0,20,134,0,989,0,0,2946,0,1930,0,1
35,1966,0,0,20,122,0,999,0,0,2979,0,1954,0,1
36,982,0,0,10,62,0,496,0,0,1490,0,974,0,1
37,1952,0,0,20,90,0,985,0,0,2945,0,1940,0,1
38,1982,0,0,20,88,0,1000,0,0,2989,0,1966,0,1
39,960,0,0,12,94,0,488,0,0,1462,0,970,0,1
40,1910,0,0,22,104,0,964,0,0,2894,0,1928,0,1
41,1960,0,0,22,92,0,988,0,0,2958,0,1996,0,1
42,964,0,0,10,88,0,487,0,0,1475,0,964,0,1
43,1960,0,0,20,88,0,988,0,0,2952,0,1952,0,1
44,1964,0,0,20,124,0,999,0,0,2974,0,1962,0,1
45,970,0,0,10,90,0,493,0,0,1477,0,960,0,1
46,1962,0,0,20,104,0,989,0,0,2971,0,1944,0,1
47,1969,0,0,20,96,0,993,0,0,2971,0,1956,0,1
48,974,0,0,10,66,0,492,0,0,1481,0,968,0,1
49,1902,0,0,20,104,0,968,0,0,2873,0,1882,0,1
50,1974,0,0,20,128,0,1004,0,0,2991,0,1966,0,1
51,968,0,0,10,88,0,488,0,0,1481,0,960,0,1
52,1966,0,0,20,104,0,991,0,0,2974,0,1958,0,1
53,1966,0,0,20,84,0,992,0,0,2966,0,1958,0,1
54,972,0,0,8,64,0,491,0,0,1476,0,966,0,1
55,1969,0,0,18,84,0,993,0,0,2970,0,1954,0,1
56,1972,0,0,18,100,0,994,0,0,2984,0,1956,0,1
57,974,0,0,10,66,0,491,0,0,1481,0,972,0,1
58,1922,0,0,20,106,0,977,0,0,2903,0,1916,0,1
59,1974,0,0,20,112,0,1004,0,0,2981,0,1956,0,1
60,974,0,0,10,110,0,496,0,0,1492,0,964,0,1
61,1934,0,0,20,108,0,976,0,0,2927,0,1930,0,1
62,1972,0,0,20,112,0,995,0,0,2985,0,1968,0,1
63,954,0,0,10,68,0,481,0,0,1448,0,946,0,1
64,1954,0,0,20,128,0,993,0,0,2959,0,1944,0,1
65,1940,0,0,18,114,0,979,0,0,2936,0,1932,0,1
66,968,0,0,10,90,0,489,0,0,1484,0,960,0,1
67,1958,0,0,20,88,0,989,0,0,2956,0,1948,0,1
68,1968,0,0,20,114,0,1000,0,0,2972,0,1956,0,1
69,978,0,0,10,88,0,498,0,0,1487,0,972,0,1
70,1936,0,0,20,100,0,976,0,0,2930,0,1928,0,1
71,1978,0,0,20,116,0,998,0,0,2993,0,1966,0,1
72,960,0,0,10,88,0,483,0,0,1467,0,948,0,1
73,1958,0,0,20,128,0,996,0,0,2965,0,1940,0,1
74,1918,0,0,20,132,0,975,0,0,2905,0,1910,0,1
75,982,0,0,10,92,0,500,0,0,1496,0,978,0,1
76,1944,0,0,20,84,0,980,0,0,2934,0,1932,0,1
77,1982,0,0,20,82,0,1000,0,0,2989,0,1968,0,1
78,978,0,0,10,84,0,494,0,0,1496,0,978,0,1
79,1926,0,0,20,122,0,980,0,0,2916,0,1920,0,1
80,1978,0,0,20,108,0,997,0,0,2993,0,1972,0,1
81,982,0,0,10,90,0,496,0,0,1502,0,972,0,1
82,1914,0,0,18,88,0,965,0,0,2887,0,1910,0,1
83,1952,0,0,20,124,0,992,0,0,2956,0,1947,0,1
84,980,0,0,10,88,0,498,0,0,1492,0,976,0,1
85,1938,0,0,20,106,0,978,0,0,2935,0,1928,0,1
86,1978,0,0,20,90,0,998,0,0,2986,0,1972,0,1
87,970,0,0,10,90,0,490,0,0,1484,0,966,0,1
88,1952,0,0,20,86,0,984,0,0,2944,0,1940,0,1
89,1970,0,0,20,122,0,1001,0,0,2983,0,1962,0,1
90,974,0,0,10,112,0,495,0,0,1492,0,964,0,1
91,1898,0,0,20,108,0,959,0,0,2874,0,1896,0,1
92,1976,0,0,20,84,0,996,0,0,2980,0,1962,0,1
93,974,0,0,10,68,0,493,0,0,1481,0,968,0,1
94,1952,0,0,20,106,0,993,0,0,2948,0,1938,0,1
95,1974,0,0,20,104,0,995,0,0,2989,0,1964,0,1
96,988,0,0,10,88,0,498,0,0,1511,0,982,0,1
97,1926,0,0,20,100,0,971,0,0,2915,0,1920,0,1
98,1986,0,0,20,82,0,1002,0,0,2995,0,1982,0,1
99,970,0,0,10,110,0,494,0,0,1486,0,968,0,1
100,1905,0,0,20,102,0,962,0,0,2883,0,1894,0,1
101,1968,0,0,20,106,0,993,0,0,2979,0,1954,0,1
102,982,0,0,10,66,0,495,0,0,1493,0,976,0,1
103,1926,0,0,20,120,0,979,0,0,2911,0,1918,0,1
104,1980,0,0,20,132,0,1007,0,0,2992,0,1969,0,1
105,978,0,0,10,110,0,499,0,0,1498,0,978,0,1
106,1916,0,0,20,122,0,968,0,0,2904,0,1920,0,1
107,1978,0,0,20,112,0,997,0,0,2995,0,1968,0,1
108,966,0,0,10,66,0,487,0,0,1467,0,960,0,1
109,1914,0,0,20,132,0,973,0,0,2902,0,1900,0,1
110,1966,0,0,20,116,0,991,0,0,2978,0,1956,0,1
111,976,0,0,10,88,0,492,0,0,1493,0,972,0,1
112,1943,0,0,20,100,0,981,0,0,2934,0,1932,0,1
113,1974,0,0,20,114,0,1003,0,0,2982,0,1962,0,1
114,960,0,0,8,88,0,489,0,0,1460,0,954,0,1
115,1962,0,0,18,90,0,989,0,0,2960,0,1948,0,1
116,1960,0,0,18,90,0,988,0,0,2958,0,1944,0,1
117,982,0,0,10,86,0,495,0,0,1501,0,978,0,1
118,1906,0,0,20,140,0,971,0,0,2890,0,1896,0,1
119,1982,0,0,20,140,0,1007,0,0,3003,0,1964,0,1
120,972,0,0,10,92,0,495,0,0,1481,0,968,0,1
121,1960,0,0,20,88,0,988,0,0,2959,0,1954,0,1
122,1972,0,0,20,90,0,994,0,0,2978,0,1958,0,1
123,970,0,0,10,90,0,493,0,0,1477,0,962,0,1
124,1970,0,0,20,146,0,1002,0,0,2988,0,1960,0,1
125,1902,0,0,18,98,0,959,0,0,2872,0,1886,0,1
126,964,0,0,10,88,0,487,0,0,1475,0,962,0,1
127,1962,0,0,20,94,0,989,0,0,2960,0,1948,0,1
128,1962,0,0,20,136,0,998,0,0,2974,0,1948,0,1
129,964,0,0,10,88,0,490,0,0,1468,0,966,0,1
130,1962,0,0,20,112,0,990,0,0,2975,0,1960,0,1
131,1964,0,0,20,90,0,990,0,0,2965,0,1956,0,1
132,998,0,0,10,64,0,504,0,0,1516,0,994,0,1
133,1884,0,0,19,114,0,959,0,0,2847,0,1884,0,1
